型号,品牌,售价,评论数,标题特征词,内存(G),储存(G),独立显卡,显存,容量(GB),价格定位,档位档次,市场标签
华为MateBook Fold 非凡大师,华为,26999.0,2100,鸿蒙操作系统,32,2048,无,无,,高端,高端,品牌溢价款
华为MateBook Fold 非凡大师,华为,23999.0,2100,鸿蒙操作系统,32,1024,无,无,,高端,高端,品牌溢价款
YOGA Pro 16 Aura AI元启版,联想,9999.0,5400,AI 酷睿Ultra RTX50系,32,1024,5060,8GB GDDR7,,常规,中端,正常
YOGA Pro 16 Aura AI元启版,联想,10999.0,5400,AI 酷睿Ultra RTX50系,32,1024,5070,12GB GDDR7,,常规,中端,正常
YOGA Pro 16 Aura AI元启版,联想,18999.0,5400,AI 酷睿Ultra RTX50系,64,2048,5070,12GB GDDR7,,高端,高端,正常
ThinkPad X1 Carbon Aura AI元启,联想,13405.0,20000,AI 酷睿Ultra,32,1024,无,无,,常规,中端,正常
ThinkPad X1 Carbon Aura AI元启,联想,14038.0,20000,AI 酷睿Ultra,32,2048,无,无,,常规,中端,正常
ThinkPad X1 Carbon Aura AI元启,联想,15095.0,20000,AI 酷睿Ultra,32,4096,无,无,,高端,高端,正常
微星 绝影18 AI ,微星,22499.0,100,AI 酷睿Ultra RTX50系,32,2048,5070,12GB GDDR7,,高端,高端,正常
微星 绝影18 AI ,微星,29999.0,100,AI 酷睿Ultra RTX50系,64,2048,5080,16GB GDDR7,,高端,高端,正常
微星 绝影18 AI ,微星,34999.0,100,AI 酷睿Ultra RTX50系,64,2048,5090,24GB GDDR7,,高端,高端,正常
微星 绝影18 AI 锐龙版,微星,35999.0,100,AI 锐龙9 RTX50系,64,2048,5090,24GB GDDR7,,高端,高端,正常
微星 绝影16 AI 锐龙版,微星,19499.0,100,AI 锐龙9 RTX50系,32,2048,5070,12GB GDDR7,,高端,高端,正常
MacBook Pro 14,苹果,14499.0,20000,M5处理器,16,1024,无,无,,常规,中端,品牌溢价款
MacBook Pro 14,苹果,15499.0,20000,M5处理器,24,1024,无,无,,高端,中端,品牌溢价款
MacBook Pro 14,苹果,17499.0,20000,M5处理器,16,2048,无,无,,高端,中端,品牌溢价款
MacBook Pro 14,苹果,21999.0,20000,M5处理器,16,4096,无,无,,高端,中端,品牌溢价款
MacBook Pro 14,苹果,14499.0,20000,M5处理器,24,512,无,无,,常规,中端,品牌溢价款
MacBook Pro 14,苹果,18999.0,20000,M5处理器,24,2048,无,无,,高端,中端,品牌溢价款
MacBook Pro 14,苹果,23499.0,20000,M5处理器,24,4096,无,无,,高端,中端,品牌溢价款
MacBook Pro 14,苹果,15999.0,20000,M5处理器,32,512,无,无,,高端,高端,品牌溢价款
MacBook Pro 14,苹果,17499.0,20000,M5处理器,32,1024,无,无,,高端,高端,品牌溢价款
MacBook Pro 14,苹果,20499.0,20000,M5处理器,32,2048,无,无,,高端,高端,品牌溢价款
MacBook Pro 14,苹果,24999.0,20000,M5处理器,32,4096,无,无,,高端,高端,品牌溢价款
华硕ProArt创16,华硕,30499.0,2000,AMD锐龙AI9 RTX50系,64,4096,5090,24GB GDDR7,,高端,高端,正常
华硕ProArt创16,华硕,27499.0,2000,AMD锐龙AI9 RTX50系,64,4096,5080,16GB GDDR7,,高端,高端,正常
华硕ProArt创16,华硕,16999.0,2000,AMD锐龙AI9 RTX50系,64,2048,5060,8GB GDDR7,,高端,高端,正常
