型号,品牌,售价,评论数,标题特征词,内存(G),储存(G),独立显卡,显存,容量(GB),价格定位,档位档次,市场标签,成本变化,预测价,修正系数,修正价格
华为MateBook Fold 非凡大师,华为,26999.0,2100,鸿蒙操作系统,32,2048,无,无,,高端,高端,品牌溢价款,422.4,28172.333333333332,1.0,29732.866666666665
华为MateBook Fold 非凡大师,华为,23999.0,2100,鸿蒙操作系统,32,1024,无,无,,高端,高端,品牌溢价款,371.2,25030.11111111111,1.0,26401.488888888885
YOGA Pro 16 Aura AI元启版,联想,9999.0,5400,AI 酷睿Ultra RTX50系,32,1024,5060,8GB GDDR7,,常规,中端,正常,371.2,11030.111111111111,0.95,10478.605555555556
YOGA Pro 16 Aura AI元启版,联想,10999.0,5400,AI 酷睿Ultra RTX50系,32,1024,5070,12GB GDDR7,,常规,中端,正常,371.2,12030.111111111111,0.95,11428.605555555556
YOGA Pro 16 Aura AI元启版,联想,18999.0,5400,AI 酷睿Ultra RTX50系,64,2048,5070,12GB GDDR7,,高端,高端,正常,742.4,21061.222222222223,1.0,21061.222222222223
ThinkPad X1 Carbon Aura AI元启,联想,13405.0,20000,AI 酷睿Ultra,32,1024,无,无,,常规,中端,正常,371.2,14436.111111111111,0.95,13714.305555555555
ThinkPad X1 Carbon Aura AI元启,联想,14038.0,20000,AI 酷睿Ultra,32,2048,无,无,,常规,中端,正常,422.4,15211.333333333334,0.95,14450.766666666666
ThinkPad X1 Carbon Aura AI元启,联想,15095.0,20000,AI 酷睿Ultra,32,4096,无,无,,高端,高端,正常,524.8,16552.777777777777,1.0,16552.777777777777
微星 绝影18 AI ,微星,22499.0,100,AI 酷睿Ultra RTX50系,32,2048,5070,12GB GDDR7,,高端,高端,正常,422.4,23672.333333333332,1.0,23672.333333333332
微星 绝影18 AI ,微星,29999.0,100,AI 酷睿Ultra RTX50系,64,2048,5080,16GB GDDR7,,高端,高端,正常,742.4,32061.222222222223,1.0,32061.222222222223
微星 绝影18 AI ,微星,34999.0,100,AI 酷睿Ultra RTX50系,64,2048,5090,24GB GDDR7,,高端,高端,正常,742.4,37061.22222222222,1.0,37061.22222222222
微星 绝影18 AI 锐龙版,微星,35999.0,100,AI 锐龙9 RTX50系,64,2048,5090,24GB GDDR7,,高端,高端,正常,742.4,38061.22222222222,1.0,38061.22222222222
微星 绝影16 AI 锐龙版,微星,19499.0,100,AI 锐龙9 RTX50系,32,2048,5070,12GB GDDR7,,高端,高端,正常,422.4,20672.333333333332,1.0,20672.333333333332
MacBook Pro 14,苹果,14499.0,20000,M5处理器,16,1024,无,无,,常规,中端,品牌溢价款,211.2,15085.666666666666,0.95,14108.453166666663
MacBook Pro 14,苹果,15499.0,20000,M5处理器,24,1024,无,无,,高端,中端,品牌溢价款,291.2,16307.888888888889,0.95,15483.842055555551
MacBook Pro 14,苹果,17499.0,20000,M5处理器,16,2048,无,无,,高端,中端,品牌溢价款,262.4,18227.88888888889,0.95,17073.762055555555
MacBook Pro 14,苹果,21999.0,20000,M5处理器,16,4096,无,无,,高端,中端,品牌溢价款,364.8,23012.333333333332,0.95,21679.129833333325
MacBook Pro 14,苹果,14499.0,20000,M5处理器,24,512,无,无,,常规,中端,品牌溢价款,265.6,15236.777777777777,0.95,14442.937611111109
MacBook Pro 14,苹果,18999.0,20000,M5处理器,24,2048,无,无,,高端,中端,品牌溢价款,342.4,19950.11111111111,0.95,18890.900944444442
